58110353530, 2015-8-20, Tomasz, Kowalski
72100420615, 2016-9-30, Wojciech, Nowak
57111780178, 2016-6-11, Albert, Bobrowski
90101522433, 2015-12-6, Dariusz, Gobel
58051177819, 2017-2-3, Krzysztof, Sosnowski
64070444454, 2016-12-12, Kacper, Adiunkt
50091366336, 2013-1-31, Marcin, Wojciechowski
66052140831, 2017-5-21, Jan, Jankowski
75060453291, 2014-3-21, Zbigniew, Bobrowski
90091940110, 2014-9-27, Piotr, Kowalski
67090840581, 2016-8-15, Joanna, Mleczek
56041331582, 2014-8-1, Dominika, Porzeczka
64032702745, 2016-6-12, Katarzyna, Silka
89032486684, 2013-11-18, Patrycja, Nowakowska
60050626782, 2017-3-16, Magda, Sosnowska
81051487408, 2013-10-30, Marta, Misiakowska
96050571111, 2015-3-28, Arnold, Boczek
62072086812, 2014-10-29, Kamil, Ostrowski
69040663462, 2015-6-21, Zuzanna, Fonuth
70021183480, 2014-4-7, Marianna, Obuchowska
53080135197, 2013-5-4, Tymek, Boczek
67090110811, 2016-4-5, Karol, Ostrowski
68021652369, 2014-10-29, Stefania, Fonuth
86081206100, 2016-8-25, Ilona, Obuchowska
